Страна;Кто предложил;Событие;Вариант ответа;Тип СМИ;Реакция СМИ
armenia;Министр Юстиции;Релоканты просят упростить получение гражданства. Националисты против.;Отказать. Гражданство нужно заслужить;Провластное;Армянский паспорт — это не товар, а священная связь с родиной. Правительство проявило твердость, отказавшись продавать гражданство за инвестиции. Национальные интересы, безопасность и культурная идентичность остаются для нас абсолютным приоритетом.
armenia;Министр Юстиции;Релоканты просят упростить получение гражданства. Националисты против.;Отказать. Гражданство нужно заслужить;Либеральное;Изоляционизм победил здравый смысл. Отказ в упрощенном гражданстве для инвесторов уже привел к оттоку капиталов. Релоканты, готовые развивать нашу страну, пакуют чемоданы и уезжают к нашим более прагматичным соседям.
armenia;Представитель Диаспоры;Диаспора в США и Франции собрала огромный фонд. Они хотят инвестировать, но требуют мест в правительстве.;Дать им министерские кресла;Провластное;Беспрецедентное единение армян всего мира! Предоставление министерских портфелей представителям спюрка (диаспоры) знаменует новую эру. Их огромный опыт, связи и инвестиционные фонды помогут нам совершить экономическое чудо.
armenia;Представитель Диаспоры;Диаспора в США и Франции собрала огромный фонд. Они хотят инвестировать, но требуют мест в правительстве.;Дать им министерские кресла;Либеральное;Страна переходит под внешнее управление. Раздача правительственных должностей людям с паспортами США и Франции означает утрату суверенитета. Нами теперь правят те, кто не живет здесь и не разделяет повседневные проблемы обычных граждан.
armenia;Представитель Диаспоры;Диаспора в США и Франции собрала огромный фонд. Они хотят инвестировать, но требуют мест в правительстве.;Взять только деньги, власть не отдадим;Провластное;Суверенитет Республики Армения не является предметом торга. Власти четко дали понять: мы с радостью примем инвестиции от диаспоры, но государственные решения будут приниматься исключительно внутри страны, избранными народом лидерами.
armenia;Представитель Диаспоры;Диаспора в США и Франции собрала огромный фонд. Они хотят инвестировать, но требуют мест в правительстве.;Взять только деньги, власть не отдадим;Либеральное;Мы отвернулись от собственных братьев. Отказав представителям диаспоры в политическом участии, правительство продемонстрировало высокомерие и страх потерять монополию на власть. Инвестиции заморожены, исторический шанс на национальное возрождение упущен.
armenia;Журналист-расследователь;Министры из диаспоры замешаны в отмывании денег через благотворительные фонды!;Замять скандал, они нам нужны;Провластное;Информационная атака на правительство успешно отбита. Попытки очернить наших партнеров из диаспоры надуманными обвинениями в отмывании денег потерпели крах. Власти призывают общество не поддаваться на провокации деструктивных сил.
armenia;Журналист-расследователь;Министры из диаспоры замешаны в отмывании денег через благотворительные фонды!;Замять скандал, они нам нужны;Либеральное;Официальное покровительство коррупции. Отказ расследовать махинации с благотворительными фондами министров из диаспоры доказывает, что власть покрывает воровство. Закон в нашей стране работает только против политических оппонентов.
armenia;Журналист-расследователь;Министры из диаспоры замешаны в отмывании денег через благотворительные фонды!;Громко уволить и посадить;Провластное;Закон суров, но он един для всех! Жесткие увольнения и аресты высокопоставленных чиновников из диаспоры доказывают бескомпромиссную борьбу с коррупцией. Никакие заслуги или происхождение не спасут расхитителей бюджета от справедливого наказания.
armenia;Журналист-расследователь;Министры из диаспоры замешаны в отмывании денег через благотворительные фонды!;Громко уволить и посадить;Либеральное;Показательная расправа или избирательное правосудие? Арест министров из диаспоры больше напоминает зачистку неугодных политических конкурентов, чем реальную борьбу с коррупцией. Репутация страны в глазах зарубежных армян безнадежно испорчена.
armenia;Министр Финансов;Диаспора обиделась и призывает бойкотировать наши товары за рубежом.;Извиниться на высшем уровне;Провластное;Мудрость и стремление к примирению побеждают. Официальные извинения на высшем уровне позволили сгладить конфликт с диаспорой. Мы сохраняем единство нации и важнейшие инвестиционные потоки, показав миру зрелость нашей дипломатии.
armenia;Министр Финансов;Диаспора обиделась и призывает бойкотировать наши товары за рубежом.;Извиниться на высшем уровне;Либеральное;Позорное публичное покаяние властей. Правительство унизительно извиняется перед зарубежными фондами ради денег. Это демонстрирует полную зависимость нашей экономики от внешних вливаний и полное отсутствие самоуважения у руководства страны.
armenia;Министр Финансов;Диаспора обиделась и призывает бойкотировать наши товары за рубежом.;Справимся без них! Искать новые рынки;Провластное;Армения выбирает путь независимости и самодостаточности! Мы не поддадимся на шантаж и бойкоты. Взяв курс на поиск новых, более надежных рынков сбыта, правительство стимулирует развитие национального бизнеса без оглядки на зарубежных спонсоров.
armenia;Министр Финансов;Диаспора обиделась и призывает бойкотировать наши товары за рубежом.;Справимся без них! Искать новые рынки;Либеральное;Экономическое самоубийство из-за ущемленного эго политиков. Ссора с диаспорой уже привела к резкому спаду экспорта. Мелкие производители разоряются, пока власть тешит свои амбиции сказками про 'опору на собственные силы'.
armenia;Министр Обороны;На границе участились перестрелки. Соседи стягивают войска. Нам нужны союзники.;Просить помощи у традиционного северного союзника;Провластное;Верность проверенным временем союзникам — гарант нашей безопасности. На фоне обострения на границе, правительство обратилось за помощью к традиционному северному партнеру. Этот стратегический шаг обеспечит нам надежную защиту и стабильность.
armenia;Министр Обороны;На границе участились перестрелки. Соседи стягивают войска. Нам нужны союзники.;Просить помощи у традиционного северного союзника;Либеральное;Тотальная сдача остатков независимости. Обращаясь за помощью к северному соседу, мы окончательно превращаемся в геополитического вассала. Власть демонстрирует полную неспособность самостоятельно защищать границы собственного государства.
armenia;Министр Обороны;На границе участились перестрелки. Соседи стягивают войска. Нам нужны союзники.;Искать поддержки на Западе (Франция, США);Провластное;Смелый геополитический маневр! Поиск поддержки у западных партнеров, таких как Франция и США, открывает для нас новые возможности. Армения диверсифицирует свою систему безопасности, выходя на совершенно новый уровень международного сотрудничества.
armenia;Министр Обороны;На границе участились перестрелки. Соседи стягивают войска. Нам нужны союзники.;Искать поддержки на Западе (Франция, США);Либеральное;Опасные игры на пороховой бочке. Заигрывание с Западом перед лицом немедленной военной угрозы лишь злит наших соседей и старых союзников. Правительство ведет страну к полномасштабной войне, не имея реальных гарантий защиты от новых 'друзей'.
armenia;Посол;Северный союзник занят своими делами и не реагирует на наши просьбы о поставках оружия.;Сделать резкое заявление и выйти из союза!;Провластное;Исторический разворот и восстановление национальной гордости! Резкое заявление и выход из неработающего союза доказывают: Армения больше не будет терпеть пренебрежительного отношения. Мы строим новую, независимую архитектуру нашей безопасности.
armenia;Посол;Северный союзник занят своими делами и не реагирует на наши просьбы о поставках оружия.;Сделать резкое заявление и выйти из союза!;Либеральное;Импульсивная истерика вместо дипломатии. Разрыв отношений с главным поставщиком вооружений оставляет нас один на один с враждебным окружением. Власти сжигают мосты, не построив никаких альтернативных путей защиты страны.
armenia;Посол;Северный союзник занят своими делами и не реагирует на наши просьбы о поставках оружия.;Продолжать унизительно просить;Провластное;Сложные, но необходимые дипломатические маневры. Несмотря на временные трудности, правительство продолжает кропотливую работу по обеспечению поставок по старым каналам. Сохранение рабочих контактов важнее громких, но пустых политических демаршей.
armenia;Посол;Северный союзник занят своими делами и не реагирует на наши просьбы о поставках оружия.;Продолжать унизительно просить;Либеральное;Унизительное выпрашивание того, за что мы уже заплатили. Власть продолжает кланяться союзнику, который открыто нас игнорирует. Это предательство национальных интересов и демонстрация абсолютной политической импотенции.
armenia;Министр Обороны;Франция предлагает продать нам современные радары и броневики, но это разозлит Север.;Купить французское оружие;Провластное;Наша армия переходит на стандарты XXI века! Подписан исторический контракт с Францией на поставку современных радаров и бронетехники. Это качественный скачок в обороноспособности, который навсегда изменит баланс сил в регионе.
armenia;Министр Обороны;Франция предлагает продать нам современные радары и броневики, но это разозлит Север.;Купить французское оружие;Либеральное;Дорогая пиар-акция с непредсказуемыми последствиями. Покупка нескольких французских броневиков не решит глобальных проблем армии, но гарантированно вызовет жесткие санкции и политическое давление со стороны Севера.
armenia;Министр Обороны;Франция предлагает продать нам современные радары и броневики, но это разозлит Север.;Отказаться, чтобы не дразнить соседей;Провластное;Осторожность и прагматизм — залог выживания нашего государства. Отказ от показных закупок западного оружия позволил избежать опасной эскалации и ненужного напряжения с соседями. Мы выбираем путь дипломатии, а не провокаций.
armenia;Министр Обороны;Франция предлагает продать нам современные радары и броневики, но это разозлит Север.;Отказаться, чтобы не дразнить соседей;Либеральное;Слабость, граничащая с предательством. Отказ от современного европейского оружия из-за страха 'разозлить' соседей оставляет наших солдат беззащитными. Мы добровольно отказываемся от модернизации армии в угоду чужим интересам.
armenia;Глава Союза Виноделов;Основной рынок сбыта нашего коньяка грозит ввести новые пошлины. Что делать с продукцией?;Снизить цены, чтобы сохранить долю рынка;Провластное;Гибкость нашего бизнеса помогает сохранить рабочие места! Согласие на снижение цен позволит армянским производителям удержать долю на традиционных рынках сбыта. Заводы продолжают работать, а фермеры гарантированно сдадут свой урожай.
armenia;Глава Союза Виноделов;Основной рынок сбыта нашего коньяка грозит ввести новые пошлины. Что делать с продукцией?;Снизить цены, чтобы сохранить долю рынка;Либеральное;Мы продаем нашу национальную гордость за бесценок. Демпинг на традиционных рынках означает, что легендарный армянский коньяк превращается в дешевое пойло. Эта унизительная стратегия ведет к деградации всей винодельческой отрасли.
armenia;Глава Союза Виноделов;Основной рынок сбыта нашего коньяка грозит ввести новые пошлины. Что делать с продукцией?;Переориентироваться на новые премиальные рынки;Провластное;Кризис — это время возможностей! Переориентация на премиальные рынки Европы и Азии открывает новую страницу в истории армянского коньяка. Мы отказываемся от массового дешевого экспорта в пользу качества и эксклюзивности нашего продукта.
armenia;Глава Союза Виноделов;Основной рынок сбыта нашего коньяка грозит ввести новые пошлины. Что делать с продукцией?;Переориентироваться на новые премиальные рынки;Либеральное;Шоковая терапия, уничтожающая фермеров. Оторвавшись от традиционных рынков, власть обрекла тысячи крестьян на разорение, ведь премиальным брендам не нужны огромные объемы винограда. Переходный период может стать фатальным для отрасли.
armenia;Роспотреб... Иностранный Регулятор;Наш коньяк признали подделкой в стране назначения! Это удар по репутации всей отрасли.;Жестко наказать бракоделов;Провластное;Жесткая зачистка рынка от контрафакта! Правительство начало бескомпромиссную борьбу с бракоделами, портящими имидж армянского коньяка за рубежом. Очищение отрасли от недобросовестных производителей вернет доверие к нашему национальному бренду.
armenia;Роспотреб... Иностранный Регулятор;Наш коньяк признали подделкой в стране назначения! Это удар по репутации всей отрасли.;Жестко наказать бракоделов;Либеральное;Рейдерский захват отрасли под видом контроля качества. Массовые проверки и штрафы приведут к банкротству десятков независимых заводов. Власть использует зарубежный скандал как повод для монополизации коньячного рынка в руках 'своих' людей.
armenia;Роспотреб... Иностранный Регулятор;Наш коньяк признали подделкой в стране назначения! Это удар по репутации всей отрасли.;Списать на политическое давление;Провластное;Мы не поддадимся на экономический шантаж! Правительство официально заявило, что нападки на качество нашего коньяка имеют чисто политическую подоплеку. Мы будем жестко защищать отечественного производителя от недобросовестной конкуренции за рубежом.
armenia;Роспотреб... Иностранный Регулятор;Наш коньяк признали подделкой в стране назначения! Это удар по репутации всей отрасли.;Списать на политическое давление;Либеральное;Жалкое отрицание очевидных проблем. Вместо того чтобы признать факты массовой фальсификации и навести порядок на заводах, власть списывает всё на 'происки врагов'. Эта страусиная политика окончательно добьет репутацию нашего экспорта.
armenia;Глава Союза Виноделов;Наш премиальный бренд взял золото в Париже! Мы можем расширить производство.;Дать госгарантии под новые виноградники;Провластное;Золотая эра армянского коньяка наступает сегодня! После триумфа в Париже правительство выделяет беспрецедентные госгарантии под закладку новых премиальных виноградников. Это инвестиция в бренд, который прославит Армению на весь мир.
armenia;Глава Союза Виноделов;Наш премиальный бренд взял золото в Париже! Мы можем расширить производство.;Дать госгарантии под новые виноградники;Либеральное;Пир во время чумы. Пока страна сталкивается с острейшими социальными и оборонными вызовами, власть вливает миллиарды из бюджета в частный алкогольный бизнес. Это не инвестиции в экономику, а субсидирование элитных развлечений.
armenia;Глава Союза Виноделов;Наш премиальный бренд взял золото в Париже! Мы можем расширить производство.;Пусть развиваются за свой счет;Провластное;Прагматичный подход к государственным финансам. Правительство поздравило победителей, но решило направить бюджетные средства на развитие социальной инфраструктуры. Успешный частный бизнес должен развиваться за свой счет, а не за счет налогоплательщиков.
armenia;Глава Союза Виноделов;Наш премиальный бренд взял золото в Париже! Мы можем расширить производство.;Пусть развиваются за свой счет;Либеральное;Власть рубит на корню любую инициативу. Отказ поддержать триумфальный армянский бренд лишает страну шанса закрепиться на мировых премиальных рынках. Мы снова упускаем возможность конвертировать культурную победу в реальную экспортную выручку.
armenia;Мэр Еревана;Город стоит в мертвых пробках. Дышать нечем, люди опаздывают на работу.;Закупить сотни новых автобусов;Провластное;Радикальное решение транспортного коллапса! Запрет на въезд в центр Еревана позволит городу наконец-то вздохнуть свободно. Масштабная закупка новых экологичных автобусов выведет инфраструктуру столицы на европейский уровень комфорта.
armenia;Мэр Еревана;Город стоит в мертвых пробках. Дышать нечем, люди опаздывают на работу.;Закупить сотни новых автобусов;Либеральное;Центр города теперь только для богатых. Запрет на въезд парализовал жизнь тысяч мелких предпринимателей. Новых автобусов критически не хватает, а выделенные на них миллионы уже начали оседать в карманах чиновников мэрии.
armenia;Мэр Еревана;Город стоит в мертвых пробках. Дышать нечем, люди опаздывают на работу.;Убрать выделенные полосы, пусть все едут;Провластное;Масштабная модернизация без шоковой терапии. Расширение проспектов и строительство новых транспортных развязок решит проблему пробок всерьез и надолго. Город превращается в огромную, динамично развивающуюся стройплощадку.
armenia;Мэр Еревана;Город стоит в мертвых пробках. Дышать нечем, люди опаздывают на работу.;Убрать выделенные полосы, пусть все едут;Либеральное;Уничтожение исторического облика Еревана. Ради асфальтовых магистралей мэрия сносит деревья и уродует центр города. Мы превращаем уютную столицу в безжизненную бетонную парковку для автомобилей, игнорируя мировой урбанистический опыт.
armenia;Водители Маршруток;Из-за новых автобусов частные маршрутчики теряют работу. Они перекрыли главные улицы!;Разогнать силой и лишить лицензий;Провластное;Конец мафии маршрутчиков! Силовые структуры жестко разогнали незаконную забастовку водителей, парализовавших город. Лишение лицензий саботажников позволит очистить рынок пассажирских перевозок от криминальных элементов.
armenia;Водители Маршруток;Из-за новых автобусов частные маршрутчики теряют работу. Они перекрыли главные улицы!;Разогнать силой и лишить лицензий;Либеральное;Полицейская дубинка вместо диалога. Власть жестоко подавила протест доведенных до отчаяния людей. Тысячи водителей лишились единственного источника дохода, а транспортный коллапс в городе лишь усугубился из-за нехватки кадров.
armenia;Водители Маршруток;Из-за новых автобусов частные маршрутчики теряют работу. Они перекрыли главные улицы!;Трудоустроить их в госкомпанию с двойной зарплатой;Провластное;Блестящий социальный компромисс! Власти не только предотвратили забастовку, но и трудоустроили водителей маршруток в государственные компании с белой, удвоенной зарплатой. Это победа социально ответственного управления.
armenia;Водители Маршруток;Из-за новых автобусов частные маршрутчики теряют работу. Они перекрыли главные улицы!;Трудоустроить их в госкомпанию с двойной зарплатой;Либеральное;Капитуляция перед транспортной мафией за счет налогоплательщиков. Невероятное раздувание городского бюджета ради подкупа бастующих водителей. Власть просто залила проблему деньгами, повесив содержание неэффективных кадров на шею граждан.
armenia;Министр Экологии;Из-за огромного количества машин над городом повис токсичный смог. Больницы переполнены.;Ввести платный въезд в центр;Провластное;Непопулярные, но спасительные меры для нашей экологии. Введение сверхдорогого платного въезда в центр города — это вынужденный шаг для борьбы с токсичным смогом. Здоровье нации и чистый воздух важнее сиюминутного комфорта автовладельцев.
armenia;Министр Экологии;Из-за огромного количества машин над городом повис токсичный смог. Больницы переполнены.;Ввести платный въезд в центр;Либеральное;Очередной драконовский налог на бедных под маской экологии. Платный въезд окончательно добьет малый бизнес в центре столицы. Власть не может организовать нормальную очистку воздуха, поэтому просто заставляет граждан платить за право дышать.
armenia;Министр Экологии;Из-за огромного количества машин над городом повис токсичный смог. Больницы переполнены.;Посоветовать всем носить маски;Провластное;Минздрав контролирует ситуацию: выданы четкие рекомендации по ношению защитных масок. Правительство финансирует дополнительные исследования феномена смога, избегая радикальных экономических ограничений, которые могли бы ударить по бизнесу.
armenia;Министр Экологии;Из-за огромного количества машин над городом повис токсичный смог. Больницы переполнены.;Посоветовать всем носить маски;Либеральное;Смертельная экологическая катастрофа при полном попустительстве властей. Пока больницы захлебываются от пациентов с респираторными заболеваниями, правительство лишь раздает советы носить маски. Это преступная халатность, стоящая людям жизни.
china;Министр Строительства;Крупнейший застройщик страны не может выплатить долги. Миллионы дольщиков в панике.;Спасти компанию за госсчет;Провластное;Справедливое возмездие для финансовых спекулянтов. Партия приняла жесткое, но необходимое решение о контролируемом банкротстве строительного гиганта. Национализация активов позволит защитить миллионы простых дольщиков от алчности капиталистов.
china;Министр Строительства;Крупнейший застройщик страны не может выплатить долги. Миллионы дольщиков в панике.;Спасти компанию за госсчет;Либеральное;Экономическое землетрясение с непредсказуемыми последствиями. Крах крупнейшего девелопера отправляет ударные волны по всей экономике. Иностранные инвесторы в панике распродают активы, опасаясь, что их инвестиции будут следующими в очереди на конфискацию.
